time (s),leafValue( IT("/I0/Iout1") "Design_Point" 1 ) (A),leafValue( IT("/I0/Iout2") "Design_Point" 1 ) (A),leafValue( getData(":pwr" ?result "tran") "Design_Point" 1 ) (W)
0.000,969.0E-15,65.00E-9,45.25E-6
1.000E-6,970.1E-15,65.00E-9,45.25E-6
2.000E-6,970.1E-15,65.00E-9,45.25E-6
3.000E-6,970.1E-15,65.00E-9,45.25E-6
4.000E-6,970.1E-15,65.00E-9,45.25E-6
5.000E-6,970.1E-15,65.00E-9,45.25E-6
6.000E-6,970.1E-15,65.00E-9,45.25E-6
7.000E-6,970.1E-15,65.00E-9,45.25E-6
8.000E-6,970.1E-15,65.00E-9,45.25E-6
9.000E-6,970.1E-15,65.00E-9,45.25E-6
9.500E-6,970.1E-15,65.00E-9,45.25E-6
9.539E-6,-53.96E-15,64.90E-9,44.56E-6
9.597E-6,-8.565E-12,64.74E-9,43.79E-6
9.682E-6,-31.41E-12,64.70E-9,43.05E-6
9.743E-6,-44.26E-12,64.75E-9,42.70E-6
9.813E-6,-50.60E-12,64.77E-9,42.35E-6
9.902E-6,-51.25E-12,64.76E-9,41.93E-6
9.951E-6,-50.00E-12,64.75E-9,41.71E-6
10.00E-6,-48.76E-12,64.74E-9,41.48E-6
10.02E-6,-50.29E-12,64.77E-9,41.73E-6
10.04E-6,-53.81E-12,64.84E-9,41.95E-6
10.06E-6,-58.57E-12,64.94E-9,42.16E-6
10.10E-6,-60.91E-12,65.03E-9,42.45E-6
10.14E-6,-57.71E-12,64.97E-9,42.61E-6
10.19E-6,-53.84E-12,64.86E-9,42.72E-6
10.26E-6,-51.87E-12,64.79E-9,42.78E-6
10.34E-6,-51.01E-12,64.79E-9,42.81E-6
10.46E-6,-49.64E-12,64.82E-9,42.81E-6
10.61E-6,-46.92E-12,64.83E-9,42.81E-6
10.80E-6,-41.52E-12,64.83E-9,42.82E-6
11.06E-6,-26.71E-12,64.81E-9,42.86E-6
11.39E-6,22.83E-12,64.75E-9,42.93E-6
11.78E-6,210.1E-12,64.48E-9,43.02E-6
12.10E-6,611.0E-12,63.87E-9,43.09E-6
12.33E-6,1.169E-9,63.00E-9,43.15E-6
12.52E-6,1.851E-9,61.92E-9,43.19E-6
12.68E-6,2.627E-9,60.67E-9,43.23E-6
12.82E-6,3.528E-9,59.27E-9,43.27E-6
12.97E-6,5.002E-9,57.52E-9,43.31E-6
13.03E-6,6.078E-9,56.71E-9,43.33E-6
13.09E-6,7.745E-9,55.72E-9,43.35E-6
13.15E-6,9.352E-9,54.76E-9,43.37E-6
13.22E-6,11.09E-9,53.49E-9,43.39E-6
13.30E-6,12.79E-9,51.97E-9,43.42E-6
13.36E-6,14.17E-9,50.60E-9,43.44E-6
13.43E-6,15.78E-9,48.99E-9,43.46E-6
13.53E-6,18.14E-9,46.66E-9,43.49E-6
13.72E-6,23.27E-9,41.60E-9,43.56E-6
14.06E-6,32.97E-9,32.04E-9,43.68E-6
14.75E-6,49.68E-9,15.55E-9,43.94E-6
15.33E-6,57.97E-9,7.333E-9,44.16E-6
15.82E-6,61.47E-9,3.826E-9,44.33E-6
16.29E-6,63.18E-9,2.097E-9,44.49E-6
16.82E-6,64.08E-9,1.151E-9,44.66E-6
17.52E-6,64.58E-9,602.1E-12,44.83E-6
18.52E-6,64.81E-9,304.6E-12,45.03E-6
19.46E-6,64.88E-9,198.5E-12,45.15E-6
19.50E-6,64.88E-9,196.4E-12,45.15E-6
19.54E-6,64.88E-9,193.7E-12,45.20E-6
19.58E-6,64.88E-9,191.1E-12,45.24E-6
19.62E-6,64.88E-9,188.8E-12,45.26E-6
19.70E-6,64.88E-9,184.4E-12,45.31E-6
19.80E-6,64.89E-9,178.9E-12,45.35E-6
19.94E-6,64.89E-9,172.0E-12,45.43E-6
20.00E-6,64.90E-9,169.0E-12,45.46E-6
20.05E-6,64.90E-9,166.7E-12,45.44E-6
20.11E-6,64.90E-9,164.5E-12,45.43E-6
20.16E-6,64.90E-9,162.6E-12,45.43E-6
20.25E-6,64.89E-9,159.2E-12,45.45E-6
20.38E-6,64.89E-9,155.8E-12,45.47E-6
20.54E-6,64.88E-9,153.0E-12,45.49E-6
20.79E-6,64.85E-9,153.3E-12,45.50E-6
21.15E-6,64.81E-9,163.9E-12,45.48E-6
21.71E-6,64.74E-9,205.8E-12,45.44E-6
22.25E-6,64.64E-9,274.9E-12,45.39E-6
22.81E-6,64.53E-9,369.9E-12,45.34E-6
23.48E-6,64.40E-9,491.2E-12,45.29E-6
24.17E-6,64.32E-9,600.3E-12,45.26E-6
24.76E-6,64.29E-9,660.2E-12,45.23E-6
25.38E-6,64.31E-9,682.8E-12,45.21E-6
26.28E-6,64.37E-9,652.2E-12,45.20E-6
27.26E-6,64.46E-9,577.3E-12,45.20E-6
28.14E-6,64.53E-9,504.4E-12,45.21E-6
29.13E-6,64.60E-9,433.7E-12,45.22E-6
29.50E-6,64.62E-9,412.1E-12,45.22E-6
29.54E-6,64.62E-9,409.5E-12,45.59E-6
29.60E-6,64.64E-9,405.9E-12,46.00E-6
29.67E-6,64.65E-9,401.6E-12,46.37E-6
29.74E-6,64.66E-9,398.3E-12,46.63E-6
29.81E-6,64.66E-9,395.4E-12,46.85E-6
29.89E-6,64.66E-9,393.0E-12,47.10E-6
30.00E-6,64.65E-9,392.2E-12,47.38E-6
30.03E-6,64.65E-9,392.4E-12,47.18E-6
30.05E-6,64.64E-9,392.9E-12,47.01E-6
30.09E-6,64.63E-9,393.7E-12,46.86E-6
30.14E-6,64.61E-9,395.7E-12,46.70E-6
30.19E-6,64.59E-9,398.3E-12,46.62E-6
30.25E-6,64.58E-9,402.5E-12,46.58E-6
30.34E-6,64.56E-9,408.8E-12,46.57E-6
30.45E-6,64.54E-9,420.3E-12,46.59E-6
30.61E-6,64.51E-9,439.1E-12,46.61E-6
30.80E-6,64.48E-9,465.7E-12,46.64E-6
31.09E-6,64.44E-9,503.7E-12,46.68E-6
31.44E-6,64.41E-9,545.6E-12,46.75E-6
31.88E-6,64.37E-9,590.6E-12,46.84E-6
32.51E-6,64.26E-9,688.9E-12,46.96E-6
33.09E-6,64.00E-9,896.3E-12,47.00E-6
33.66E-6,63.43E-9,1.379E-9,46.98E-6
34.17E-6,62.40E-9,2.331E-9,46.91E-6
34.77E-6,60.06E-9,4.656E-9,46.78E-6
35.28E-6,56.66E-9,8.109E-9,46.65E-6
