Vin ,N10:d l 6e-07  (A),N10:d l 1.2e-06  (A),N10:d l 1.8e-06  (A),N10:d l 2.4e-06  (A),N10:d l 6e-06  (A),N10:d l 1.2e-05  (A)
0.000,10.15E-12,4.393E-12,4.155E-12,4.094E-12,3.986E-12,3.921E-12
10.00E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
20.00E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
30.00E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
40.00E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
50.00E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
60.00E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
70.00E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
80.00E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
90.00E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
100.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
110.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
120.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
130.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
140.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
150.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
160.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
170.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
180.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
190.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
200.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
210.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
220.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
230.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
240.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
250.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
260.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
270.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
280.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
290.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
300.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
310.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
320.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
330.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
340.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
350.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
360.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
370.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
380.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
390.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
400.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
410.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
420.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
430.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
440.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
450.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
460.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
470.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
480.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
490.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
500.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
510.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
520.0E-3,10.15E-12,4.393E-12,4.155E-12,4.092E-12,3.981E-12,3.914E-12
