freq (Hz),leafValue( db(getData("out" ?result "noise")) "Design_Point" 1 ) (dB)
1.000,-137.1
1.122,-137.1
1.259,-137.1
1.413,-137.1
1.585,-137.1
1.778,-137.1
1.995,-137.1
2.239,-137.1
2.512,-137.1
2.818,-137.1
3.162,-137.1
3.548,-137.1
3.981,-137.1
4.467,-137.1
5.012,-137.1
5.623,-137.1
6.310,-137.1
7.079,-137.1
7.943,-137.1
8.913,-137.1
10.00,-137.1
11.22,-137.1
12.59,-137.1
14.13,-137.1
15.85,-137.1
17.78,-137.1
19.95,-137.1
22.39,-137.1
25.12,-137.1
28.18,-137.1
31.62,-137.1
35.48,-137.1
39.81,-137.1
44.67,-137.1
50.12,-137.1
56.23,-137.1
63.10,-137.1
70.79,-137.1
79.43,-137.1
89.13,-137.1
100.0,-137.1
112.2,-137.1
125.9,-137.1
141.3,-137.1
158.5,-137.1
177.8,-137.1
199.5,-137.1
223.9,-137.1
251.2,-137.1
281.8,-137.1
316.2,-137.1
354.8,-137.1
398.1,-137.1
446.7,-137.1
501.2,-137.1
562.3,-137.1
631.0,-137.1
707.9,-137.1
794.3,-137.1
891.3,-137.1
1.000E3,-137.1
1.122E3,-137.1
1.259E3,-137.1
1.413E3,-137.1
1.585E3,-137.1
1.778E3,-137.1
1.995E3,-137.1
2.239E3,-137.1
2.512E3,-137.1
2.818E3,-137.1
3.162E3,-137.1
3.548E3,-137.1
3.981E3,-137.1
4.467E3,-137.1
5.012E3,-137.1
5.623E3,-137.1
6.310E3,-137.1
7.079E3,-137.1
7.943E3,-137.1
8.913E3,-137.1
10.00E3,-137.1
11.22E3,-137.1
12.59E3,-137.1
14.13E3,-137.1
15.85E3,-137.1
17.78E3,-137.1
19.95E3,-137.1
22.39E3,-137.1
25.12E3,-137.1
28.18E3,-137.1
31.62E3,-137.1
35.48E3,-137.1
39.81E3,-137.1
44.67E3,-137.1
50.12E3,-137.1
56.23E3,-137.1
63.10E3,-137.1
70.79E3,-137.1
79.43E3,-137.1
89.13E3,-137.1
100.0E3,-137.1
112.2E3,-137.1
125.9E3,-137.1
141.3E3,-137.1
158.5E3,-137.1
177.8E3,-137.1
199.5E3,-137.1
223.9E3,-137.1
251.2E3,-137.1
281.8E3,-137.1
316.2E3,-137.1
354.8E3,-137.1
398.1E3,-137.1
446.7E3,-137.1
501.2E3,-137.1
562.3E3,-137.1
631.0E3,-137.1
707.9E3,-137.2
794.3E3,-137.2
891.3E3,-137.2
1.000E6,-137.2
1.122E6,-137.2
1.259E6,-137.3
1.413E6,-137.3
1.585E6,-137.4
1.778E6,-137.4
1.995E6,-137.5
2.239E6,-137.6
2.512E6,-137.7
2.818E6,-137.8
3.162E6,-138.0
3.548E6,-138.1
3.981E6,-138.3
4.467E6,-138.5
5.012E6,-138.7
5.623E6,-138.9
6.310E6,-139.2
7.079E6,-139.4
7.943E6,-139.7
8.913E6,-140.1
10.00E6,-140.4
11.22E6,-140.9
12.59E6,-141.3
14.13E6,-141.9
15.85E6,-142.5
17.78E6,-143.2
19.95E6,-143.9
22.39E6,-144.7
25.12E6,-145.5
28.18E6,-146.4
31.62E6,-147.3
35.48E6,-148.2
39.81E6,-149.1
44.67E6,-150.1
50.12E6,-151.0
56.23E6,-152.0
63.10E6,-152.9
70.79E6,-153.9
79.43E6,-154.9
89.13E6,-155.9
100.0E6,-156.9
112.2E6,-157.9
125.9E6,-158.8
141.3E6,-159.8
158.5E6,-160.8
177.8E6,-161.8
199.5E6,-162.8
223.9E6,-163.8
251.2E6,-164.8
281.8E6,-165.8
316.2E6,-166.8
354.8E6,-167.8
398.1E6,-168.8
446.7E6,-169.8
501.2E6,-170.8
562.3E6,-171.8
631.0E6,-172.8
707.9E6,-173.8
794.3E6,-174.8
891.3E6,-175.8
1.000E9,-176.8
