Vin ,N10:d Vc 0  (A),N10:d Vc 0.1  (A),N10:d Vc 0.2  (A),N10:d Vc 0.3  (A),N10:d Vc 0.4  (A),N10:d Vc 0.5  (A),N10:d Vc 0.6  (A),N10:d Vc 0.7  (A)
0.000,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.356E-12,4.346E-12,4.334E-12,4.323E-12
10.00E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
20.00E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
30.00E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
40.00E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
50.00E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
60.00E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
70.00E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
80.00E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
90.00E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
100.0E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
110.0E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
120.0E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
130.0E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
140.0E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
150.0E-3,4.393E-12,4.384E-12,4.375E-12,4.365E-12,4.355E-12,4.345E-12,4.334E-12,4.323E-12
