Vin ,N10:d Vr 0.8  (A),N10:d Vr 1  (A),N10:d Vr 1.2  (A),N10:d Vr 1.4  (A),N10:d Vr 1.6  (A),N10:d Vr 1.8  (A)
0.000,4.857E-12,4.701E-12,4.549E-12,4.393E-12,4.236E-12,4.082E-12
10.00E-3,4.856E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
20.00E-3,4.857E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
30.00E-3,4.858E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
40.00E-3,4.859E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
50.00E-3,4.861E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
60.00E-3,4.862E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
70.00E-3,4.865E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
80.00E-3,4.868E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
90.00E-3,4.872E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
100.0E-3,4.877E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
110.0E-3,4.884E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
120.0E-3,4.892E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
130.0E-3,4.902E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
140.0E-3,4.916E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
150.0E-3,4.933E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
160.0E-3,4.955E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
170.0E-3,4.983E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
180.0E-3,5.019E-12,4.701E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
190.0E-3,5.065E-12,4.702E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
200.0E-3,5.124E-12,4.702E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
210.0E-3,5.200E-12,4.702E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
220.0E-3,5.298E-12,4.703E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
230.0E-3,5.424E-12,4.703E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
240.0E-3,5.587E-12,4.704E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
250.0E-3,5.798E-12,4.705E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
260.0E-3,6.070E-12,4.706E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
270.0E-3,6.419E-12,4.708E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
280.0E-3,6.866E-12,4.710E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
290.0E-3,7.439E-12,4.713E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
300.0E-3,8.170E-12,4.716E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
310.0E-3,9.102E-12,4.721E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
320.0E-3,10.29E-12,4.727E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
330.0E-3,11.80E-12,4.734E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
340.0E-3,13.71E-12,4.743E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
350.0E-3,16.14E-12,4.756E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
360.0E-3,19.22E-12,4.771E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
370.0E-3,23.12E-12,4.791E-12,4.547E-12,4.393E-12,4.238E-12,4.082E-12
380.0E-3,28.06E-12,4.816E-12,4.548E-12,4.393E-12,4.238E-12,4.082E-12
390.0E-3,34.32E-12,4.849E-12,4.548E-12,4.393E-12,4.238E-12,4.082E-12
400.0E-3,42.23E-12,4.892E-12,4.548E-12,4.393E-12,4.238E-12,4.082E-12
410.0E-3,52.24E-12,4.946E-12,4.548E-12,4.393E-12,4.238E-12,4.082E-12
420.0E-3,64.89E-12,5.017E-12,4.549E-12,4.393E-12,4.238E-12,4.082E-12
430.0E-3,80.88E-12,5.109E-12,4.549E-12,4.393E-12,4.238E-12,4.082E-12
440.0E-3,101.1E-12,5.230E-12,4.549E-12,4.393E-12,4.238E-12,4.082E-12
450.0E-3,126.6E-12,5.387E-12,4.550E-12,4.393E-12,4.238E-12,4.082E-12
460.0E-3,158.9E-12,5.592E-12,4.551E-12,4.393E-12,4.238E-12,4.082E-12
470.0E-3,199.6E-12,5.858E-12,4.552E-12,4.393E-12,4.238E-12,4.082E-12
480.0E-3,251.0E-12,6.205E-12,4.554E-12,4.393E-12,4.238E-12,4.082E-12
490.0E-3,315.8E-12,6.653E-12,4.556E-12,4.393E-12,4.238E-12,4.082E-12
500.0E-3,397.6E-12,7.231E-12,4.558E-12,4.393E-12,4.238E-12,4.082E-12
510.0E-3,500.7E-12,7.974E-12,4.561E-12,4.393E-12,4.238E-12,4.082E-12
520.0E-3,630.6E-12,8.928E-12,4.565E-12,4.393E-12,4.238E-12,4.082E-12
530.0E-3,794.2E-12,10.15E-12,4.571E-12,4.393E-12,4.238E-12,4.082E-12
540.0E-3,1.000E-9,11.71E-12,4.578E-12,4.393E-12,4.238E-12,4.082E-12
550.0E-3,1.259E-9,13.70E-12,4.586E-12,4.393E-12,4.238E-12,4.082E-12
560.0E-3,1.584E-9,16.25E-12,4.598E-12,4.393E-12,4.238E-12,4.082E-12
570.0E-3,1.991E-9,19.49E-12,4.612E-12,4.393E-12,4.238E-12,4.082E-12
580.0E-3,2.501E-9,23.62E-12,4.631E-12,4.393E-12,4.238E-12,4.082E-12
590.0E-3,3.137E-9,28.89E-12,4.655E-12,4.394E-12,4.238E-12,4.082E-12
600.0E-3,3.931E-9,35.59E-12,4.686E-12,4.394E-12,4.238E-12,4.082E-12
