time (s),leafValue( IT("/I4/Iout1") "Design_Point" 1 ) (A),leafValue( IT("/I4/Iout2") "Design_Point" 1 ) (A),leafValue( IT("/I4/Iout3") "Design_Point" 1 ) (A),leafValue( getData(":pwr" ?result "tran") "Design_Point" 1 ) (W)
0.000,70.00E-9,1.152E-12,1.153E-12,11.12E-6
450.0E-9,70.00E-9,1.158E-12,1.153E-12,11.12E-6
1.350E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
2.350E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
3.350E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
4.350E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
5.350E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
6.350E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
7.350E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
8.350E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
9.350E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
9.500E-6,70.00E-9,1.158E-12,1.153E-12,11.12E-6
9.532E-6,70.09E-9,-2.339E-12,334.6E-15,11.15E-6
9.582E-6,70.45E-9,-15.81E-12,1.881E-12,11.19E-6
9.626E-6,70.78E-9,-31.33E-12,2.097E-12,11.22E-6
9.666E-6,70.79E-9,-42.94E-12,2.105E-12,11.24E-6
9.721E-6,70.15E-9,-58.00E-12,1.822E-12,11.27E-6
9.785E-6,68.87E-9,-82.92E-12,773.3E-15,11.30E-6
9.835E-6,67.79E-9,-112.7E-12,-603.2E-15,11.33E-6
9.874E-6,66.98E-9,-144.5E-12,-2.043E-12,11.35E-6
9.910E-6,66.28E-9,-180.6E-12,-3.694E-12,11.37E-6
9.943E-6,65.62E-9,-222.1E-12,-5.687E-12,11.40E-6
9.976E-6,64.95E-9,-270.1E-12,-8.238E-12,11.42E-6
10.00E-6,64.43E-9,-310.6E-12,-10.67E-12,11.44E-6
10.01E-6,64.22E-9,-328.6E-12,-10.83E-12,11.42E-6
10.02E-6,63.94E-9,-355.6E-12,-14.85E-12,11.38E-6
10.04E-6,63.61E-9,-380.9E-12,-18.04E-12,11.35E-6
10.07E-6,62.91E-9,-427.5E-12,-22.59E-12,11.29E-6
10.10E-6,62.37E-9,-472.9E-12,-26.42E-12,11.26E-6
10.13E-6,62.10E-9,-542.1E-12,-32.42E-12,11.23E-6
10.18E-6,62.58E-9,-626.4E-12,-40.44E-12,11.22E-6
10.24E-6,63.82E-9,-713.6E-12,-49.46E-12,11.21E-6
10.29E-6,65.04E-9,-778.0E-12,-56.52E-12,11.22E-6
10.34E-6,65.83E-9,-824.4E-12,-61.33E-12,11.22E-6
10.39E-6,66.22E-9,-862.5E-12,-64.26E-12,11.22E-6
10.43E-6,66.26E-9,-895.8E-12,-64.96E-12,11.22E-6
10.48E-6,66.12E-9,-926.5E-12,-63.77E-12,11.22E-6
10.52E-6,65.92E-9,-958.6E-12,-61.44E-12,11.22E-6
10.57E-6,65.70E-9,-994.6E-12,-58.74E-12,11.22E-6
10.64E-6,65.50E-9,-1.047E-9,-56.94E-12,11.23E-6
10.72E-6,65.39E-9,-1.097E-9,-58.80E-12,11.23E-6
10.77E-6,65.33E-9,-1.135E-9,-63.34E-12,11.23E-6
10.83E-6,65.28E-9,-1.168E-9,-70.49E-12,11.24E-6
10.88E-6,65.22E-9,-1.199E-9,-80.43E-12,11.24E-6
10.93E-6,65.15E-9,-1.228E-9,-92.80E-12,11.25E-6
10.98E-6,65.06E-9,-1.255E-9,-108.5E-12,11.26E-6
11.03E-6,64.97E-9,-1.280E-9,-127.7E-12,11.26E-6
11.08E-6,64.87E-9,-1.304E-9,-150.6E-12,11.27E-6
11.13E-6,64.76E-9,-1.327E-9,-177.4E-12,11.28E-6
11.18E-6,64.65E-9,-1.349E-9,-208.5E-12,11.29E-6
11.23E-6,64.52E-9,-1.370E-9,-244.6E-12,11.31E-6
11.28E-6,64.39E-9,-1.391E-9,-285.8E-12,11.32E-6
11.34E-6,64.23E-9,-1.411E-9,-334.0E-12,11.33E-6
11.41E-6,64.05E-9,-1.427E-9,-391.1E-12,11.35E-6
11.48E-6,63.80E-9,-1.399E-9,-460.0E-12,11.37E-6
11.58E-6,62.94E-9,-703.2E-12,-546.4E-12,11.39E-6
11.63E-6,61.75E-9,878.6E-12,-579.6E-12,11.40E-6
11.67E-6,58.40E-9,5.684E-9,-599.0E-12,11.42E-6
11.72E-6,50.04E-9,17.36E-9,-573.6E-12,11.44E-6
11.76E-6,40.52E-9,30.17E-9,-504.6E-12,11.47E-6
11.79E-6,31.41E-9,41.46E-9,-400.5E-12,11.49E-6
11.82E-6,23.62E-9,49.58E-9,-272.1E-12,11.51E-6
11.84E-6,17.44E-9,54.35E-9,-130.5E-12,11.53E-6
11.87E-6,12.48E-9,56.34E-9,21.60E-12,11.54E-6
11.90E-6,8.992E-9,55.92E-9,156.2E-12,11.55E-6
11.93E-6,6.835E-9,54.56E-9,244.5E-12,11.56E-6
11.95E-6,5.671E-9,54.42E-9,279.4E-12,11.56E-6
11.98E-6,4.943E-9,56.91E-9,284.6E-12,11.57E-6
12.00E-6,4.432E-9,62.38E-9,276.0E-12,11.59E-6
12.03E-6,4.082E-9,68.31E-9,265.4E-12,11.61E-6
12.06E-6,3.728E-9,74.25E-9,257.7E-12,11.63E-6
12.09E-6,3.532E-9,76.24E-9,258.4E-12,11.65E-6
12.11E-6,3.402E-9,76.65E-9,261.4E-12,11.65E-6
12.14E-6,3.284E-9,76.49E-9,262.7E-12,11.66E-6
12.18E-6,3.157E-9,75.87E-9,256.9E-12,11.67E-6
12.23E-6,3.005E-9,75.05E-9,234.6E-12,11.67E-6
12.28E-6,2.871E-9,74.59E-9,201.6E-12,11.68E-6
