Type,Name,Value,Enabled,Tags,Notes
variable,Ibias1,40.0n,enabled,,
variable,Ibias2,40.0n,enabled,,
variable,Ibias3,40.0n,enabled,,
variable,Ibias_WTA,70n,enabled,,
variable,l,2.4u,enabled,,
variable,Vc1,1,enabled,,
variable,Vc10,1,enabled,,
variable,Vc11,0,enabled,,
variable,Vc12,0,enabled,,
variable,Vc2,0.6826669898572348,enabled,,
variable,Vc3,0.18479047230262052,enabled,,
variable,Vc4,0.2989443548188246,enabled,,
variable,Vc5,1,enabled,,
variable,Vc6,1,enabled,,
variable,Vc7,0.3182478951613496,enabled,,
variable,Vc8,0.4061423017389269,enabled,,
variable,Vc9,0.5341449414588788,enabled,,
variable,Vr1,1.3054400000000002,enabled,,
variable,Vr10,1.3579779114662833,enabled,,
variable,Vr11,1.3999999999999992,enabled,,
variable,Vr12,1.3999611096707278,enabled,,
variable,Vr2,1.3884089072461157,enabled,,
variable,Vr3,1.2723354350567466,enabled,,
variable,Vr4,1.266660617059891,enabled,,
variable,Vr5,1.3736342857142854,enabled,,
variable,Vr6,1.341047858489719,enabled,,
variable,Vr7,1.3935146820392714,enabled,,
variable,Vr8,1.387018408089188,enabled,,
variable,Vr9,1.3930399999999994,enabled,,
variable,wcor,6u,enabled,,
variable,wdif,31.5u,enabled,,
variable,wmir,33u,enabled,,
variable,wwta,7.5u,enabled,,
