time (s),leafValue( IT("/I0/Iout1") "Design_Point" 1 ) (A),leafValue( IT("/I0/Iout2") "Design_Point" 1 ) (A),leafValue( getData(":pwr" ?result "tran") "Design_Point" 1 ) (W)
0.000,1.005E-12,16.00E-9,11.92E-6
1.000E-6,1.008E-12,16.00E-9,11.92E-6
2.000E-6,1.008E-12,16.00E-9,11.92E-6
3.000E-6,1.008E-12,16.00E-9,11.92E-6
4.000E-6,1.008E-12,16.00E-9,11.92E-6
5.000E-6,1.008E-12,16.00E-9,11.92E-6
6.000E-6,1.008E-12,16.00E-9,11.92E-6
7.000E-6,1.008E-12,16.00E-9,11.92E-6
8.000E-6,1.008E-12,16.00E-9,11.92E-6
9.000E-6,1.008E-12,16.00E-9,11.92E-6
9.500E-6,1.008E-12,16.00E-9,11.92E-6
9.539E-6,2.789E-12,15.96E-9,11.73E-6
9.597E-6,4.516E-12,15.83E-9,11.45E-6
9.682E-6,-4.376E-12,15.64E-9,11.10E-6
9.755E-6,-17.12E-12,15.58E-9,10.84E-6
9.833E-6,-25.87E-12,15.63E-9,10.61E-6
9.926E-6,-28.66E-12,15.72E-9,10.37E-6
10.00E-6,-27.42E-12,15.78E-9,10.21E-6
10.02E-6,-26.20E-12,15.79E-9,10.22E-6
10.05E-6,-26.23E-12,15.80E-9,10.24E-6
10.07E-6,-31.20E-12,15.86E-9,10.27E-6
10.13E-6,-42.53E-12,16.07E-9,10.37E-6
10.19E-6,-46.50E-12,16.25E-9,10.50E-6
10.25E-6,-42.37E-12,16.25E-9,10.62E-6
10.32E-6,-37.06E-12,16.10E-9,10.73E-6
10.41E-6,-35.28E-12,15.93E-9,10.84E-6
10.52E-6,-35.74E-12,15.86E-9,10.93E-6
10.64E-6,-34.89E-12,15.86E-9,10.99E-6
10.79E-6,-32.64E-12,15.87E-9,11.04E-6
10.97E-6,-29.83E-12,15.88E-9,11.07E-6
11.18E-6,-26.54E-12,15.90E-9,11.09E-6
11.45E-6,-22.33E-12,15.91E-9,11.09E-6
11.77E-6,-17.00E-12,15.92E-9,11.09E-6
12.14E-6,-8.808E-12,15.91E-9,11.09E-6
12.61E-6,7.648E-12,15.90E-9,11.09E-6
13.23E-6,47.26E-12,15.85E-9,11.10E-6
13.95E-6,138.5E-12,15.72E-9,11.12E-6
14.61E-6,288.5E-12,15.49E-9,11.13E-6
15.17E-6,481.0E-12,15.19E-9,11.15E-6
15.67E-6,709.2E-12,14.84E-9,11.16E-6
16.14E-6,976.9E-12,14.42E-9,11.17E-6
16.62E-6,1.382E-9,13.91E-9,11.18E-6
16.82E-6,1.666E-9,13.67E-9,11.19E-6
17.06E-6,2.166E-9,13.36E-9,11.19E-6
