Type,Name,Value,Enabled,Tags,Notes
variable,Ibias1,40.0n,enabled,,
variable,Ibias2,40.0n,enabled,,
variable,Ibias3,40.0n,enabled,,
variable,Ibias_WTA,70n,enabled,,
variable,l,2.4u,enabled,,
variable,Vc1,0,enabled,,
variable,Vc2,0,enabled,,
variable,Vc3,0,enabled,,
variable,Vc4,0,enabled,,
variable,Vc5,0,enabled,,
variable,Vc6,0,enabled,,
variable,Vc7,0,enabled,,
variable,Vc8,0,enabled,,
variable,Vc9,0,enabled,,
variable,Vc10,0,enabled,,
variable,Vc11,0,enabled,,
variable,Vc12,0,enabled,,
variable,Vc13,0,enabled,,
variable,Vc14,0.09406536372664154,enabled,,
variable,Vc15,0.02228494977805001,enabled,,
variable,Vr1,1.3075372372629812,enabled,,
variable,Vr2,1.304751221223622,enabled,,
variable,Vr3,1.2998824507178446,enabled,,
variable,Vr4,1.2920719479056673,enabled,,
variable,Vr5,1.2947804453001424,enabled,,
variable,Vr6,1.3015086717280766,enabled,,
variable,Vr7,1.3099327757215433,enabled,,
variable,Vr8,1.3072695548807753,enabled,,
variable,Vr9,1.2913969583612082,enabled,,
variable,Vr10,1.2909952919399619,enabled,,
variable,Vr11,1.309491736236181,enabled,,
variable,Vr12,1.2951115986860453,enabled,,
variable,Vr13,1.2956216772423252,enabled,,
variable,Vr14,1.3046205691563608,enabled,,
variable,Vr15,1.3056496528835666,enabled,,
variable,wcor,6u,enabled,,
variable,wdif,31.5u,enabled,,
variable,wmir,33u,enabled,,
variable,wwta,7.5u,enabled,,
